id,price,effective_date,display_field,pricebook_id,pricebook,default_supplier,supplier_trade_id,supplier_trade
23937,2.6727,27/06/2023 6:10,TIMBER FRAME : MGP129035LOSPH2 : Pine Structural 90 X 35 MGP12 LOSP H2,43337,MGP129035LOSPH2,TRUE,242,TIMBER FRAME
23936,3.3727,27/06/2023 6:10,TIMBER FRAME : MGP127045LSOP : Pine Structural Framesure 70 X 45 MGP12 LOSP,43338,MGP127045LSOP,TRUE,242,TIMBER FRAME
23935,3.3636,27/06/2023 6:10,TIMBER FRAME : MGP12LOSPH2 : Pine Structural 70 X 45 MGP12 LOSP H2,43339,MGP12LOSPH2,TRUE,242,TIMBER FRAME
23934,4.1545,27/06/2023 6:10,TIMBER FRAME : MGP129045LOSP : Pine Structural Framesure 90 X 45 MGP12 LOSP,43340,MGP129045LOSP,TRUE,242,TIMBER FRAME
23933,4.1545,27/06/2023 6:10,TIMBER FRAME : MGP129045LOSPH2 : Pine Structural 90 X 45 MGP12 LOSP H2,43341,MGP129045LOSPH2,TRUE,242,TIMBER FRAME
23932,2.0091,27/06/2023 6:10,TIMBER FRAME : MGP127035PT : Pine Terminator 70 X 35 MGP12 H2F Termite Treated Framing,43342,MGP127035PT,TRUE,242,TIMBER FRAME
23931,2.3,27/06/2023 6:10,TIMBER FRAME : MGP129035PT : Pine Terminator 90 X 35 MGP12 H2F Termite Treated Framing,43343,MGP129035PT,TRUE,242,TIMBER FRAME
23930,2.7636,27/06/2023 6:10,TIMBER FRAME : MGP127045PT : Pine Terminator 70 X 45 MGP12 H2F Termite Treated Framing,43344,MGP127045PT,TRUE,242,TIMBER FRAME
23929,3.5364,27/06/2023 6:10,TIMBER FRAME : MGP129045PT : Pine Terminator 90 X 45 MGP12 H2F Termite Treated Framing,43345,MGP129045PT,TRUE,242,TIMBER FRAME
23928,2.2545,27/06/2023 6:10,TIMBER FRAME : MGP127035B : Pine Structural Framesure 70 X 35 MGP12 Blue,43346,MGP127035B,TRUE,242,TIMBER FRAME
23927,2.3,27/06/2023 6:10,TIMBER FRAME : MGP129035B : Pine Structural Framesure 90 X 35 MGP12 Blue,43347,MGP129035B,TRUE,242,TIMBER FRAME
23926,3.0545,27/06/2023 6:10,TIMBER FRAME : MGP127045B : Pine Structural Framesure 70 X 45 MGP12 Blue,43348,MGP127045B,TRUE,242,TIMBER FRAME
23925,3.6727,27/06/2023 6:10,TIMBER FRAME : MGP129045B : Pine Structural Framesure 90 X 45 MGP12 Blue,43349,MGP129045B,TRUE,242,TIMBER FRAME
23924,2.0727,27/06/2023 6:10,TIMBER FRAME : MGP127035T : Pine Structural 70 X 35 MGP12 Dipped Framing T2,43350,MGP127035T,TRUE,242,TIMBER FRAME
