id,code,description,unit,range_id,range,colour_spec_id,colour_spec,colour_spec$type,price,default_supplier,brand_linked,budget_zone
46878,ABEYNU,Abey NuQueen Double Bowl Drop in Sink,each,406,NuQueen - Abey,150,Stainless Steel - Plumbing Fitoff Gear,113,0.0091,Harvey Norman Commercial QLD,Abey - Drop in Sink,
46879,DASA,Driveway Application Self Assesment,Each,,,,,,81.6,Fluid Building Approvals,,
46880,DAFA,Driveway Application Full Assessment,Each,,,,,,189.1,Fluid Building Approvals,,
46881,SOEENSW,Statement of Enviroment Effects,Each,,,,,,1750,Fluid Building Approvals,,
46882,DANR,Development Assessment ( Notice or Requirements),Each,,,,,,31,Fluid Building Approvals,,
46883,BOASA,Build Over/Adjacent to Sewer Application,Each,,,,,,149,Fluid Building Approvals,,
46884,NP225,NUPOD 225H One Piece Void Former (1160 X 1160 X 225H),Each,,,,,,23.8182,Ausreo Pty Ltd,,
46885,WS2W,Watering System for at Least 2 Weeks,Each,,,,,,200,LANDSCAPING,,
46886,SIDRAINS,Supply and Install Drains to Field Gullies as per Plan (per FG),Each,,,,,,22,LANDSCAPING,,
46887,FEATUREQLDBR,Feature Brick QLD Builders Range,/1000,99,Feature - Austral,365,Default Colour - Default,113,920,Austral - Rochedale,Austral - Brick,
46889,SMODIA,Seima Modia Toilet Back to Wall Floor Mount Pan with deluxe Soft Close Seat White,each,368,Modia - Seima,104,White - Plumbing Fitoff Gear,113,324.8,Harvey Norman Commercial QLD,Seima - Back To Wall Toilet,
46890,SMODIAIW,Seima Modia Toilet Floor Mount Pan with deluxe Soft Close Seat -to suit in wall cistern,Each,,,,,,279.6,Harvey Norman Commercial QLD,,
46891,DWAM2,Disposal Waste Archerfield C&D M3,M3,,,,,,46,,,
46892,DWAT,Disposal Waste Archerfield C&D TONNE,tonne,,,,,,120,,,
46893,DWWGM2,Disposal Waste Wattle Glen C&D M3,M3,,,,,,46,,,
46894,DWWGT,Disposal Waste Wattle Glen C&D TONNE,tonne,,,,,,120,,,
46895,BALNA,BAL N/A,Sqm,,,,,,0.0091,QUICK SPEC,,BAL
46896,BALOW,BAL LOW,Sqm,,,,,,6,QUICK SPEC,,BAL
46897,BAL12.5,BAL 12.5,Sqm,,,,,,25,QUICK SPEC,,BAL
46898,BAL19,BAL 19,Sqm,,,,,,35,QUICK SPEC,,BAL
46899,BAL29,BAL 29,Sqm,,,,,,41,QUICK SPEC,,BAL
46900,BAL40,BAL 40,Sqm,,,,,,60,QUICK SPEC,,BAL
46901,BALFZ,BAL FZ,Sqm,,,,,,1000000,QUICK SPEC,,BAL
46902,GASBOTTLE,GAS BOTTLES,Each,,,,,,0.01,QUICK SPEC,,
46903,GASNA,GAS N/A,Each,,,,,,0.0091,QUICK SPEC,,
46904,GASNATURAL,GAS NATURAL,Each,,,,,,0.01,QUICK SPEC,,
46905,GREYNA,Grey Water N/A,Each,,,,,,0.0091,QUICK SPEC,,
46906,GREYWATER,Grey Water,Each,,,,,,5000,QUICK SPEC,,
46907,INNBN,Internet NBN,Each,,,,,,0.0091,QUICK SPEC,,
46908,INOPTIC,Internet OPTIC,Each,,,,,,500,QUICK SPEC,,
46909,NC1,Noise Category 1,Sqm,,,,,,9,QUICK SPEC,,
46910,NC2,Noise Category 2,Sqm,,,,,,33,QUICK SPEC,,
46911,NCNA,Noise Category - N/A,Sqm,,,,,,0.0091,QUICK SPEC,,
46912,NC3,Noise Category 3,Sqm,,,,,,79,QUICK SPEC,,
46913,POWEROH,Power Line - Overhead,Each,,,,,,1500,QUICK SPEC,,
46914,POWERUG,Power Line - Underground,Each,,,,,,0.0091,QUICK SPEC,,
46915,ROOFCB,Roof Material - Colorbond,Each,,,,,,0.0091,QUICK SPEC,,
46916,ROOFTILES,Roof Material - Tiled,each,,,,,,2500,QUICK SPEC,,Main Floors
46917,SOILE,Soil Class E,Sqm,,,,,,33,QUICK SPEC,,Soil Type
46918,SOILH1,Soil Class H1,Sqm,,,,,,0.0091,QUICK SPEC,,Soil Type
46919,SOILH2,Soil Class H2,Sqm,,,,,,19,QUICK SPEC,,Soil Type
46920,SOILM,Soil Class M,Sqm,,,,,,0.0091,QUICK SPEC,,Soil Type
46921,SOILPE,Soil Class P/E,Sqm,,,,,,59,QUICK SPEC,,Soil Type
46922,SOILPH1,Soil Class P/H1,Sqm,,,,,,26,QUICK SPEC,,Soil Type
46923,SOILPH2,Soil Class P/H2,Sqm,,,,,,45,QUICK SPEC,,Soil Type
46924,SOILPM,Soil Class P/M,Sqm,,,,,,26,QUICK SPEC,,Soil Type
46925,SOILPS,Soil Class P/S,Sqm,,,,,,26,QUICK SPEC,,Soil Type
46926,SOILS,Soil Class S,Sqm,,,,,,0.0091,QUICK SPEC,,Soil Type
46927,TERMITESF,Termite Barrier - Smart Film,lm,,,,,,0.0091,QUICK SPEC,,
46928,TERMITETM,Termite Barrier - Termimesh,lm,,,,,,13.5,QUICK SPEC,,
46929,WINDC2,Wind Rating C2,Each,,,,,,6000,QUICK SPEC,,Wind Rating
46930,WINDN1,Wind Rating N1,Each,,,,,,0.0091,QUICK SPEC,,Wind Rating
46931,WINDN2,Wind Rating N2,Each,,,,,,0.0091,QUICK SPEC,,Wind Rating
46932,WINDN3,Wind Rating N3,Each,,,,,,2300,QUICK SPEC,,Wind Rating
46933,WINDN4,Wind Rating N4,Each,,,,,,3450,QUICK SPEC,,Wind Rating
46934,DEB,Cut Deep Edge Beam ( up to 3),Each,,,,,,500,,,
46935,SPLT,Split Slab Site Cut,each,,,,,,600,,,Site Cut
46936,LFPREP,Level - Floor Prep Vinyl/Hybrid and Laminated floors,Sqm,,,,,,14,FLOOR COVERING,,Main Floors
46937,NCS,NUPOD up to 16mm TMCHAIRS ( 20 bag ),Each,,,,,,7.7,Ausreo Pty Ltd,,
46938,NCS60A,NUPOD 16mm and Over TMCHAIRS ( 20 bag ),Each,,,,,,9.4636,Ausreo Pty Ltd,,
46939,CJPR,Cavity Jexis Press Release Kit,Each,,,,,,36,Pre Hung Doors (PHD),,
46940,CSCK,Cavity Soft Close Kit,Each,,,,,,36,Pre Hung Doors (PHD),,
46941,PODR,Pod Rail (pack 20),Each,,,,,,21.7636,Ausreo Pty Ltd,,
46942,TSF,Tight Site Fee,Each,,,,,,300,BRICKLAYER,,
46943,CCS,Carpenter to Cut Studs,Each,,,164,Colour Not Required - Plumbing Fitoff Gear,113,250,Tekna Carpentry,,
46944,CN3W,Carpenter N3 Wind,Each,,,164,Colour Not Required - Plumbing Fitoff Gear,113,250,Tekna Carpentry,,
46945,DTSS,Deem to Satisfy Single Storey,Each,,,,,,180,,,
46946,DTSTS,Deem to Satisfy Two Storey,Each,,,,,,200,,,
46947,NP225H,NUPOD 225H One Piece Void Former (1160 X 580 X 225H),Each,,,,,,13.2636,Ausreo Pty Ltd,,
46948,UTERM,Upgrade to Termimesh,Each,,,,,,800,QUICK SPEC,,
46949,UOWM,Upgrade to Off White Mortar,Each,,,,,,1000,QUICK SPEC,,
46950,URFF,Upgrade to Render Front Facade with 1 Meter Returns,Each,,,,,,1000,QUICK SPEC,,
46951,UFHR,Upgrade to Full House to Render,Each,,,,,,8000,QUICK SPEC,,
46952,U2590C,Upgrade to 2590 Ceilings with 2285mm High Garage Door and 2440 High Kitchen Cabinetry over Windows and Front Door Cement Sheet,Each,,,,,,3000,QUICK SPEC,,
46953,U2740C,Upgrade to 2740 Ceilings with 2435mm High Garage Door and 2440 High Kitchen Cabinetry and Brickwork over Windows and Front Door on Front Facade - all other Cement Sheet over,Each,,,,,,6000,QUICK SPEC,,
46954,U2740CBW,Additional Upgrade to 2740 Ceilings - Brickwork over all Opening Windows/Sliding Doors and Front Door (max opening is 3300mm),Each,,,,,,1500,QUICK SPEC,,
