item_code,item_name,category,unit_of_measure,current_price,supplier_name,brand,notes,last_updated
RB102110,1000 X 2110 Roller Blind,General,Each,135.62,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB102260,1000 X 2260 Roller Blind,General,Each,142.16,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB102410,1000 X 2410 Roller Blind,General,Each,147.06,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB102560,1000 X 2560 Roller Blind,General,Each,151.96,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB102710,1000 X 2710 Roller Blind,General,Each,156.86,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
RB102860,1000 X 2860 Roller Blind,General,Each,161.77,Lovering Installations QLD,,Budget Zone: Window Covering,2025-11-03
HAG9920,Hume Accent HAG9 2040 X 920 X 35,Accent - Hume,Each,59.13,Pre Hung Doors,Hume - 2100 920 Int Door,Brand: Hume - 2100 920 Int Door | Model: 2100 920 Int Door,2025-11-03
BAL19887MERBAU,"BAL 19 A Enviro 2100 X 886 140x40 Merbau, SS Butt Hinges, Silicon Seals",Front Door Frames - Front Door Frames,Each,275.00,Pre Hung Doors,Front Door Frames - Front Door Frames,Brand: Front Door Frames - Front Door Frames | Model: Front Door Frames,2025-11-03
EVOSTR10000L,EVO MK3 Tank Package 10000L Standard Round 2700W x 1860H,MK3 - EVO,Each,,,EVO - WaterTank,NEEDS PRICING | Brand: EVO - WaterTank | Model: WaterTank,2025-11-03
FGSD21850,Barrier Screen Fireguard Sliding Door 2100 X 850,Doors & Windows,Each,290.97,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
FGSD21900,Barrier Screen Fireguard Sliding Door 2100 X 900,Doors & Windows,Each,298.29,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
FGSD24900,Barrier Screen Fireguard Sliding Door 2400 X 900,Doors & Windows,Each,221.14,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
FGSD211200,Barrier Screen Fireguard Sliding Door 2100 X 1200,Doors & Windows,Each,334.89,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
FGSD241200,Barrier Screen Fireguard Sliding Door 2400 X 1200,Doors & Windows,Each,256.68,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
FGSD211500,Barrier Screen Fireguard Sliding Door 2100 X 1500,Doors & Windows,Each,265.99,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
FGSD241500,Barrier Screen Fireguard Sliding Door 2400 X 1500,Doors & Windows,Each,276.84,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
FGHD21820,Barrier Screen Fireguard Hinged Door 2100 X 820,Doors & Windows,Each,263.52,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
FGHD24820,Barrier Screen Fireguard Hinged Door 2400 X 820,Doors & Windows,Each,213.71,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
FGHD211060,Barrier Screen Fireguard Hinged Door 2100 X 1060,Doors & Windows,Each,228.44,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
FGHD241060,Barrier Screen Fireguard Hinged Door 2400 X 1060,Doors & Windows,Each,235.99,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF4300,400 X 300 Barrier Screen Fireguard,General,Each,33.00,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF4400,400 X 400 Barrier Screen Fireguard,General,Each,35.05,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF4500,400 X 500 Barrier Screen Fireguard,General,Each,40.12,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF4600,400 X 600 Barrier Screen Fireguard,General,Each,39.07,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF4700,400 X 700 Barrier Screen Fireguard,General,Each,41.08,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF4800,400 X 800 Barrier Screen Fireguard,General,Each,43.10,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF4900,400 X 900 Barrier Screen Fireguard,General,Each,45.11,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF41000,400 X 1000 Barrier Screen Fireguard,General,Each,47.12,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF41100,400 X 1100 Barrier Screen Fireguard,General,Each,49.13,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF41200,400 X 1200 Barrier Screen Fireguard,General,Each,51.14,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF41300,400 X 1300 Barrier Screen Fireguard,General,Each,53.15,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF41400,400 X 1400 Barrier Screen Fireguard,General,Each,55.17,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF41500,400 X 1500 Barrier Screen Fireguard,General,Each,57.18,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF5300,500 X 300 Barrier Screen Fireguard,General,Each,34.67,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF5400,500 X 400 Barrier Screen Fireguard,General,Each,37.34,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF5500,500 X 500 Barrier Screen Fireguard,General,Each,39.68,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF5600,500 X 600 Barrier Screen Fireguard,General,Each,42.01,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF5700,500 X 700 Barrier Screen Fireguard,General,Each,44.35,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF5800,500 X 800 Barrier Screen Fireguard,General,Each,46.69,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF5900,500 X 900 Barrier Screen Fireguard,General,Each,49.02,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF51100,500 X 1100 Barrier Screen Fireguard,General,Each,53.69,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF51200,500 X 1200 Barrier Screen Fireguard,General,Each,56.03,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
BSF51300,500 X 1300 Barrier Screen Fireguard,General,Each,58.37,Lovering Installations QLD,,Budget Zone: Security Screen,2025-11-03
