code,description,status,unit,range,range$type,lead_time,has_file,tax_rate_id,tax_rate,code_description,profile,delivery_confirmation,price,default_supplier,req_multi_colour,req_profile,req_specification,boq_only,default_supplier_id,specification_image_ok,req_product_colour_image,category_id,category
EXESTD,Exposed STD,Active,M3,,,2,,1,GST,EXESTD : Exposed STD,,3,440,ReadyMix Concrete (Was Excel Concrete Pty Ltd),TRUE,FALSE,FALSE,TRUE,314,,FALSE,110,CONCRETE
PENDD,STD Pendant light (replace with item from colour selection),Active,each,,,5,,1,GST,PENDD : STD Pendant light (replace with item from colour selection),,2,,,FALSE,FALSE,FALSE,FALSE,280,,TRUE,164,LIGHT FIT
EO13PW,Extra Over 13mm pasterboard on CBMA Firezone Partiwall System,Active,Sqm,,,10,,1,GST,EO13PW : Extra Over 13mm pasterboard on CBMA Firezone Partiwall System,,2,1,PLASTER BOARD,FALSE,FALSE,FALSE,TRUE,274,,FALSE,161,PLASTER BOARD
ELPANEL,Easylap Panel 2440 X 1200,Active,Each,,,10,,1,GST,ELPANEL : Easylap Panel 2440 X 1200,,2,78.6364,Bunnings,FALSE,FALSE,FALSE,TRUE,298,,FALSE,181,EXTERNAL CLADDING
PMAD1041020BAL125,Corinthian Madison PMAD104 2040 X 1020 X 40 Glazed Translucent BAL 12.5,Active,Each,PMAD104 - Corinthian,71,10,,1,GST,PMAD1041020BAL125 : Corinthian Madison PMAD104 2040 X 1020 X 40 Glazed Translucent BAL 12.5,,2,628,Pre Hung Doors (PHD),TRUE,TRUE,FALSE,FALSE,300,,TRUE,135,ENTRY DOORS
PMAD1011020BAL125,Corinthian Madison PMAD101 2040 X 1020 X 40 Translucent,Active,Each,PMAD101 - Corinthian,71,10,,1,GST,PMAD1011020BAL125 : Corinthian Madison PMAD101 2040 X 1020 X 40 Translucent,,2,557,Pre Hung Doors (PHD),TRUE,TRUE,FALSE,FALSE,300,,FALSE,135,ENTRY DOORS
PMAD041020BAL125,Corinthian Madison PMAD04 2040 X 1020 X 40 Translucent,Active,Each,PMAD04 - Corinthian,71,10,,1,GST,PMAD041020BAL125 : Corinthian Madison PMAD04 2040 X 1020 X 40 Translucent,,2,636.2545,Pre Hung Doors (PHD),TRUE,TRUE,FALSE,FALSE,300,,FALSE,135,ENTRY DOORS
SDO1020,Entry Door Frame Single 140 X 31 To Suit 1020 X 2040 Door With Sill - Paint Grade,Active,Each,Front Door Frames - Front Door Frames,71,10,,1,GST,SDO1020 : Entry Door Frame Single 140 X 31 To Suit 1020 X 2040 Door With Sill - Paint Grade,,2,281,Pre Hung Doors (PHD),TRUE,FALSE,FALSE,TRUE,300,,FALSE,135,ENTRY DOORS
EASYTEX24,FINE TEXTURE CLADDING Panel 2400 X 1200 X 8.5,Active,Each,,,5,,1,GST,EASYTEX24 : FINE TEXTURE CLADDING Panel 2400 X 1200 X 8.5,,2,91.81,Bunnings,FALSE,FALSE,FALSE,TRUE,298,,FALSE,181,EXTERNAL CLADDING
PFCWIN,Paint FC infills above windows,Active,m,,,5,,1,GST,PFCWIN : Paint FC infills above windows,,2,20,PAINTER,FALSE,FALSE,FALSE,TRUE,276,,FALSE,100,PAINTER
SJFEE,Small job fee for jobs under 80m2,Active,Each,,,10,,1,GST,SJFEE : Small job fee for jobs under 80m2,,2,65,Austral Insulation,FALSE,FALSE,FALSE,TRUE,302,,FALSE,211,ENERGY RATING
Tile Roof Quote Boral,Tile Roof Quote Boral,,Each,Roof Tile - Austral Roof,71,,,1,GST,Tile Roof Quote Boral : Tile Roof Quote Boral,FALSE,,,Joii Roofing,TRUE,TRUE,FALSE,FALSE,438,,FALSE,321,ROOF
SSRELW,San Selmo Reclaimed  - Limewash,Active,/1000,San Selmo Reclaimed - Austral,71,5,,1,GST,SSRELW : San Selmo Reclaimed  - Limewash,,2,2700,Austral - Rochedale,FALSE,FALSE,FALSE,FALSE,319,,TRUE,107,BRICKS
SSREAR,San Selmo Reclaimed  - Aged Red,Active,/1000,San Selmo Reclaimed - Austral,71,5,,1,GST,SSREAR : San Selmo Reclaimed  - Aged Red,,2,2700,Austral - Rochedale,FALSE,FALSE,FALSE,FALSE,319,,TRUE,107,BRICKS
GDTZA,Travel Zone A - 75 - 150kms from Southport CBD,Active,Each,,,,,1,GST,GDTZA : Travel Zone A - 75 - 150kms from Southport CBD,FALSE,,250,Sunstate Garage Doors (Travis Voigt TA),FALSE,,,FALSE,525,FALSE,FALSE,136,GARAGE DOORS
FANFPD-RED150125,Fan Ducting Reducer Circular 150 to 125mm Duct,Active,Each,,,,,1,GST,FANFPD-RED150125 : Fan Ducting Reducer Circular 150 to 125mm Duct,FALSE,,,,FALSE,,,FALSE,516,FALSE,FALSE,164,LIGHT FIT
G1ND,Gardens Flat Rate,Active,Each,,,,,1,GST,G1ND : Gardens Flat Rate,FALSE,,250,LANDSCAPING,FALSE,,,TRUE,282,FALSE,FALSE,145,LANDSCAPING
LFSPO,Landscaper For Schedule Purpose Only,Active,Each,,,,,1,GST,LFSPO : Landscaper For Schedule Purpose Only,FALSE,,0,LANDSCAPING,FALSE,,,FALSE,282,FALSE,FALSE,123,SITE CLEAN
CFSPO,Carpenter Schedule Purpose Only,Active,Each,,,,,1,GST,CFSPO : Carpenter Schedule Purpose Only,FALSE,,0,Tekna Carpentry,FALSE,,,FALSE,329,FALSE,FALSE,101,CARPENTER
SBTSPO,Silicon Behind Toilet Schedule Purpose Only,Active,Each,,,,,1,GST,SBTSPO : Silicon Behind Toilet Schedule Purpose Only,FALSE,,0,Wayke Waterproofing. Ware,FALSE,,,FALSE,505,FALSE,FALSE,210,WET SEAL
CONFSPO,Concreter For Schedule Purpose Only,Active,Each,,,,,1,GST,CONFSPO : Concreter For Schedule Purpose Only,FALSE,,0,CONCRETOR,FALSE,,,FALSE,311,FALSE,FALSE,104,CONCRETOR
GDFSPO,Garage Door for Schedule Purpose Only,Active,Each,,,,,1,GST,GDFSPO : Garage Door for Schedule Purpose Only,FALSE,,0,Sunstate Garage Doors (Travis Voigt TA),FALSE,,,FALSE,525,FALSE,FALSE,136,GARAGE DOORS
SMFSPO,Stonemason For Schedule Purpose Only,Active,Each,,,,,1,GST,SMFSPO : Stonemason For Schedule Purpose Only,FALSE,,0,La Rocca QLD Marble and Granite Pty Ltd,FALSE,,,FALSE,512,FALSE,FALSE,189,CABINET MAKER
EFSPO,Electrical For Schedule Purpose Only,Active,Each,,,,,1,GST,EFSPO : Electrical For Schedule Purpose Only,FALSE,,,,FALSE,,,FALSE,495,FALSE,FALSE,115,ELECTRICAL
ISPO,Insulation For Schedule PUrpose Only,Active,Each,,,,,1,GST,ISPO : Insulation For Schedule PUrpose Only,FALSE,,0,Austral Insulation,FALSE,,,FALSE,509,FALSE,FALSE,211,ENERGY RATING
EJOS,Expansion Joint Schedule Purpose Only,Active,Each,,,,,1,GST,EJOS : Expansion Joint Schedule Purpose Only,FALSE,,0,Gold Coast Gappng,FALSE,,,FALSE,505,FALSE,FALSE,210,WET SEAL
PLAFSPO,Plasterboard - Labour,Active,Each,,,,,1,GST,PLAFSPO : Plasterboard - Labour,FALSE,,1,D.A.M Quality Plasterboard Finishes,FALSE,,,TRUE,671,FALSE,FALSE,161,PLASTER BOARD
PFSPO,Painting For Schedule Purpose Only,Active,Each,,,,,1,GST,PFSPO : Painting For Schedule Purpose Only,FALSE,,,,FALSE,,,FALSE,,FALSE,FALSE,100,PAINTER
ENGALL,Engineer Slab Design Bracing and Articulation plans,Active,Each,,,,,1,GST,ENGALL : Engineer Slab Design Bracing and Articulation plans,FALSE,,775,AW GEOTECHNICS,FALSE,,,FALSE,569,FALSE,FALSE,134,ENGINEER
HO60,HWO60S4LMB2 - Haier 60cm 4 Function 66L Oven,Active,Each,Haier - Haier,71,,,1,GST,HO60 : HWO60S4LMB2 - Haier 60cm 4 Function 66L Oven,FALSE,,387,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HO90,HWO90S11EB3 - Haier 90cm Wall Oven,Active,Each,Haier - Haier,71,,,1,GST,HO90 : HWO90S11EB3 - Haier 90cm Wall Oven,FALSE,,1013.15,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HGC60,HCG604WFCX3  - Haier 60cm 4 Burner Gas Cooktop with Front Dials,Active,Each,Haier - Haier,71,,,1,GST,HGC60 : HCG604WFCX3  - Haier 60cm 4 Burner Gas Cooktop with Front Dials,FALSE,,224,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HEC60,HCE604TB3  - Haier 60cm 4 Zone Ceramic Cooktop with Touch Control,Active,Each,Haier - Haier,71,,,1,GST,HEC60 : HCE604TB3  - Haier 60cm 4 Zone Ceramic Cooktop with Touch Control,FALSE,,270,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HIC60,HCI604TB3  - Haier 60cm Zone Induction Cooktop,Active,Each,Haier - Haier,71,,,1,GST,HIC60 : HCI604TB3  - Haier 60cm Zone Induction Cooktop,FALSE,,399,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HGC90,HCG905WFCX3  - Haier 90cm 5 Burner Gas Cooktop,Active,Each,Haier - Haier,71,,,1,GST,HGC90 : HCG905WFCX3  - Haier 90cm 5 Burner Gas Cooktop,FALSE,,404,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HEC90,HCE905TB3 - Haier 90cm 5 Zone Ceramic Cooktop,Active,Each,Haier - Haier,71,,,1,GST,HEC90 : HCE905TB3 - Haier 90cm 5 Zone Ceramic Cooktop,FALSE,,469,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HIC90,HCI905FTB3 - Haier 90cm Induction Cooktop,Active,Each,Haier - Haier,71,,,1,GST,HIC90 : HCI905FTB3 - Haier 90cm Induction Cooktop,FALSE,,694,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HSR60,HSH60RSX1 - Haier 60cm Slideout Rangehood,Active,Each,Haier - Haier,71,,,1,GST,HSR60 : HSH60RSX1 - Haier 60cm Slideout Rangehood,FALSE,,141,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HUR60,HPH60ILX2 - Haier 60cm Undermount Rangehood,Active,Each,Haier - Haier,71,,,1,GST,HUR60 : HPH60ILX2 - Haier 60cm Undermount Rangehood,FALSE,,189,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HCR90,Haier 90cm Canopy Rangehood Wall Box Mounted,Active,Each,Haier - Haier,71,,,1,GST,HCR90 : Haier 90cm Canopy Rangehood Wall Box Mounted,FALSE,,259,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HFD60,HDW13V1S1 - Haier 60cm Freestanding Dishwasher,Active,Each,Haier - Haier,71,,,1,GST,HFD60 : HDW13V1S1 - Haier 60cm Freestanding Dishwasher,FALSE,,490,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
HID60,HDW15U2I1 - Haier 60cm Fully Integrated Dishwasher,Active,Each,Haier - Haier,71,,,1,GST,HID60 : HDW15U2I1 - Haier 60cm Fully Integrated Dishwasher,FALSE,,702,Harvey Norman Commercial QLD,FALSE,,,FALSE,506,FALSE,FALSE,190,APPLIANCES
SUNSHINE,Sunshine Coast BA,Active,Each,,,,,1,GST,SUNSHINE : Sunshine Coast BA,FALSE,,145,Fluid Building Approvals,FALSE,,,FALSE,576,FALSE,FALSE,106,PRIVATE CERTIFIER
PFF,Pay Franchise Fee,Active,each,,,5,,1,GST,PFF : Pay Franchise Fee,FALSE,2,1,Tekna Franchise,FALSE,FALSE,FALSE,TRUE,437,FALSE,FALSE,212,OFFICE ADMIN
PFMF,Pay Franchise Marketing Fee ,Active,each,,,5,,1,GST,PFMF : Pay Franchise Marketing Fee ,FALSE,2,1,Tekna Marketing,FALSE,FALSE,FALSE,TRUE,437,FALSE,FALSE,212,OFFICE ADMIN
PCF,Pay Coaching Fee,Active,each,,,5,,1,GST,PCF : Pay Coaching Fee,FALSE,2,1,Tekna Coach,FALSE,FALSE,FALSE,TRUE,760,FALSE,FALSE,212,OFFICE ADMIN
PISF,Pay Internal Sales Fee,Active,each,,,5,,1,GST,PISF : Pay Internal Sales Fee,FALSE,2,10000,Tekna Sales,FALSE,FALSE,FALSE,TRUE,437,FALSE,FALSE,212,OFFICE ADMIN
PESF,Pay External Sales Fee,Active,Each,,,5,,1,GST,PESF : Pay External Sales Fee,FALSE,2,1,Tekna Admin,FALSE,FALSE,FALSE,TRUE,437,FALSE,FALSE,212,OFFICE ADMIN
PSF,Pay Supervisor Fee,Active,each,,,5,,1,GST,PSF : Pay Supervisor Fee,FALSE,2,1,Tekna Supervisor,FALSE,FALSE,FALSE,TRUE,437,FALSE,FALSE,212,OFFICE ADMIN
PROFIT,Sales Profit Estimation,Active,Each,,,,,1,GST,PROFIT : Sales Profit Estimation,FALSE,,1,Tekna Homes,FALSE,,,FALSE,442,FALSE,FALSE,317,SALES
SWILED,Supply WIre & Install LED Downlight,Active,Each,,,,,1,GST,SWILED : Supply WIre & Install LED Downlight,FALSE,,83,TL Electrical,FALSE,,,FALSE,495,FALSE,FALSE,115,ELECTRICAL
SDELI,Single Dwelling Electrical Lead In,Active,Each,,,,,1,GST,SDELI : Single Dwelling Electrical Lead In,FALSE,,,,FALSE,,,FALSE,495,FALSE,FALSE,115,ELECTRICAL
DDELI,Dual Dwelling Electrical Lead In,Active,Each,,,,,1,GST,DDELI : Dual Dwelling Electrical Lead In,FALSE,,,,FALSE,,,FALSE,495,FALSE,FALSE,115,ELECTRICAL
